freshBlood,hotStreak,inactive,leaguePoints,losses,playerOrTeamId,playerOrTeamName,rank,veteran,wins,accountId,id
False,False,False,1078,227,56930667,Tar2an,I,True,346,209050712,56930667
False,False,False,430,1349,40210719,F0y,I,True,1395,206737570,40210719
False,False,False,506,465,56200652,김메피,I,False,556,208954564,56200652
False,False,False,693,170,1091187,KT MATA,I,False,241,665129,1091187
False,True,False,534,869,12600476,프제짱,I,False,926,200578193,12600476
True,True,False,368,54,54692988,2000 07 22,I,False,140,208710504,54692988
False,False,False,441,812,33570902,7 5,I,True,863,205721952,33570902
False,False,False,418,565,5283326,마이엠브,I,True,629,4172890,5283326
False,False,False,465,433,13965344,6학년4반장용준,I,True,496,201009223,13965344
False,False,False,404,542,9722804,arastol,I,False,610,6728662,9722804
False,False,False,401,374,2031907,아테나찡,I,False,439,1437517,2031907
False,False,False,475,850,5145847,미 키,I,True,915,4094465,5145847
True,False,False,373,1220,22441180,구 탄단,I,False,1249,203024256,22441180
False,False,False,699,203,2187036,KDM Roach,I,True,271,1646013,2187036
True,True,False,502,505,17577936,find myself,I,False,648,201556024,17577936
False,False,False,515,640,47820563,Kerla,I,False,703,207874718,47820563
False,True,False,677,337,23755659,기회는지금뿐야,I,True,408,203509833,23755659
False,False,False,803,762,3458580,쪼렙이다말로하자,I,True,842,2725181,3458580
True,True,False,382,233,34260312,L1sure,I,False,288,205817334,34260312
False,False,False,488,580,2577586,요플래,I,False,636,1805320,2577586
False,False,False,442,333,50401099,힘들 했,I,False,400,208177961,50401099
False,True,False,668,518,58620897,KT SSUN,I,True,611,209270513,58620897
False,False,False,513,813,7867667,우철짱123,I,False,874,5524615,7867667
True,True,False,392,336,53210668,APK Nova,I,False,418,208543788,53210668
False,False,False,606,323,12103321,Please find it,I,False,400,200555547,12103321
False,False,False,1083,586,5290661,SKT T1 Untara,I,True,670,4122399,5290661
False,False,False,658,594,51060360,qmsmdkxjch,I,True,660,208259196,51060360
False,False,False,492,516,37710890,많이 보고 싶어요,I,False,580,206325287,37710890
False,False,False,541,808,34710713,ROX Se0ngHwan,I,False,883,205888262,34710713
False,False,False,685,474,1206547,브리즈번,I,True,559,779882,1206547
False,False,False,495,432,1180166,좋은날,I,False,479,377501,1180166
False,False,False,657,537,11351772,나유준,I,False,609,200030188,11351772
True,True,False,428,707,11373319,Fabu,I,False,764,200059718,11373319
False,True,False,524,572,3323260,아프다고말하면,I,True,631,2024821,3323260
False,False,False,886,983,3695029,real gankster,I,True,1069,266599,3695029
True,False,False,392,892,30550903,ROX Lindarang,I,False,946,204912588,30550903
False,False,False,508,729,26592645,WannaBe HighDin,I,False,785,204152129,26592645
False,False,False,640,1492,26022557,진쟤승,I,True,1560,204062750,26022557
False,True,False,449,305,37650160,wo yao qu daye,I,False,365,206298836,37650160
False,False,False,560,417,25330313,BtC Joker,I,False,513,203874706,25330313
True,False,False,405,128,23913258,커소리어스나,I,False,191,203649218,23913258
